customer_id,customer_name,customer_email,created_at,seed
000000,Cliente 000000,cliente_000000@boti.com.br,2025-05-01T00:00:00Z,59
000001,Cliente 000001,cliente_000001@boti.com.br,2025-05-01T00:00:00Z,37
000002,Cliente 000002,,2025-05-01T00:00:00Z,96
000003,Cliente 000003,cliente_000003@boti.com.br,2025-05-01T00:00:00Z,20
000004,Cliente 000004,cliente_000004@boti.com.br,2025-05-01T00:00:00Z,24
000005,Cliente 000005,cliente_000005@boti.com.br,2025-05-01T00:00:00Z,44
000006,Cliente 000006,cliente_000006@boti.com.br,2025-05-01T00:00:00Z,50
000007,Cliente 000007,,2025-05-01T00:00:00Z,95
000008,Cliente 000008,,2025-05-01T00:00:00Z,78
000009,Cliente 000009,,2025-05-01T00:00:00Z,77
000010,Cliente 000010,,2025-05-01T00:00:00Z,89
000011,Cliente 000011,cliente_000011@boti.com.br,2025-05-01T00:00:00Z,24
000012,Cliente 000012,cliente_000012@boti.com.br,2025-05-01T00:00:00Z,53
000013,Cliente 000013,cliente_000013@boti.com.br,2025-05-01T00:00:00Z,5
000014,Cliente 000014,,2025-05-01T00:00:00Z,97
000015,Cliente 000015,,2025-05-01T00:00:00Z,92
000016,Cliente 000016,cliente_000016@boti.com.br,2025-05-01T00:00:00Z,0
000017,Cliente 000017,cliente_000017@boti.com.br,2025-05-01T00:00:00Z,18
000018,Cliente 000018,cliente_000018@boti.com.br,2025-05-01T00:00:00Z,54
000019,Cliente 000019,cliente_000019@boti.com.br,2025-05-01T00:00:00Z,4
000020,Cliente 000020,,2025-05-01T00:00:00Z,97
000021,Cliente 000021,cliente_000021@boti.com.br,2025-05-01T00:00:00Z,7
000022,Cliente 000022,cliente_000022@boti.com.br,2025-05-01T00:00:00Z,44
000023,Cliente 000023,,2025-05-01T00:00:00Z,90
000024,Cliente 000024,cliente_000024@boti.com.br,2025-05-01T00:00:00Z,30
000025,Cliente 000025,cliente_000025@boti.com.br,2025-05-01T00:00:00Z,20
000026,Cliente 000026,,2025-05-01T00:00:00Z,96
000027,Cliente 000027,cliente_000027@boti.com.br,2025-05-01T00:00:00Z,47
000028,Cliente 000028,,2025-05-01T00:00:00Z,84
000029,Cliente 000029,cliente_000029@boti.com.br,2025-05-01T00:00:00Z,61
000030,Cliente 000030,cliente_000030@boti.com.br,2025-05-01T00:00:00Z,13
000031,Cliente 000031,cliente_000031@boti.com.br,2025-05-01T00:00:00Z,11
000032,Cliente 000032,cliente_000032@boti.com.br,2025-05-01T00:00:00Z,13
000033,Cliente 000033,cliente_000033@boti.com.br,2025-05-01T00:00:00Z,17
000034,Cliente 000034,cliente_000034@boti.com.br,2025-05-01T00:00:00Z,2
000035,Cliente 000035,cliente_000035@boti.com.br,2025-05-01T00:00:00Z,26
000036,Cliente 000036,cliente_000036@boti.com.br,2025-05-01T00:00:00Z,19
000037,Cliente 000037,cliente_000037@boti.com.br,2025-05-01T00:00:00Z,22
000038,Cliente 000038,cliente_000038@boti.com.br,2025-05-01T00:00:00Z,37
000039,Cliente 000039,,2025-05-01T00:00:00Z,86
000040,Cliente 000040,,2025-05-01T00:00:00Z,84
000041,Cliente 000041,,2025-05-01T00:00:00Z,84
000042,Cliente 000042,cliente_000042@boti.com.br,2025-05-01T00:00:00Z,59
000043,Cliente 000043,,2025-05-01T00:00:00Z,82
000044,Cliente 000044,,2025-05-01T00:00:00Z,81
000045,Cliente 000045,cliente_000045@boti.com.br,2025-05-01T00:00:00Z,63
000046,Cliente 000046,cliente_000046@boti.com.br,2025-05-01T00:00:00Z,47
000047,Cliente 000047,,2025-05-01T00:00:00Z,79
000048,Cliente 000048,,2025-05-01T00:00:00Z,92
000049,Cliente 000049,cliente_000049@boti.com.br,2025-05-01T00:00:00Z,53
000050,Cliente 000050,cliente_000050@boti.com.br,2025-05-01T00:00:00Z,18
000051,Cliente 000051,cliente_000051@boti.com.br,2025-05-01T00:00:00Z,17
